id,fiscalyear,Climate change,Climate adaptation,Climate mitigation,text,pred,pred_a,pred_m
P169125,2019,0.35,0.22,0.13,"El Salvador Local Economic Resilience Project The Project Development Objective is to improve institutional performance of municipalities and increase access for citizens to services and resilient infrastructure. The objective of Local Economic Resilience Project for El Salvador is to improve institutional performance of municipalities and increase access for citizens to services and resilient infrastructure. The project has 5 components. (1) Investments in services and in resilient municipal infrastructure to support Local Economic Development component will finance resilient municipal infrastructure, including the preparation of technical designs, as needed, in municipalities that meet certain minimum conditions and incremental goals. (2) Competitive fund for high-impact investments on regional economic development component will support the government’s territorial development strategy by financing strategic investments for local economic development. (3) Institutional strengthening and capacity building component will finance institutional strengthening activities at two levels: (i) support to municipal governments to help them achieve the minimum conditions and goals, as well as technical support to Mancomunides; and (ii) support to government agencies at the national level, including: (a) technical assistance to Minister of Finance for the implementation of SAFIM and the adaptation of a revised regulatory framework for managing municipal investments, (b) technical assistance/support to selected government entities for the creation of a national registry of municipal investments through the development of an interoperable platform accessible to various national and local agencies; and (c) creation of a pilot municipal innovation behavioral lab for fostering innovation in the public sector. (4) Contingent emergency response component will provide immediate response to an eligible emergency, as needed and is intended to strengthen the country’s fiscal resilience and immediate response capacity, safeguarding against higher levels of disaster vulnerability, including those driven by climate change. This component is designed to enable rapid access to funds for response and recovery purposes under streamlined procedures for procuring goods, works, and services. (5) Project management and implementation component will create a Project Implementation Unit (PIU) and strengthening activities to Social Investment Fund for Local Development, verify minimum conditions and goals under Component 1, and create a citizen engagement platform.",0.34576866,0.22344047,0.12278817
P181308,2024,0.65,0.63,0.02,"Regional Climate Resilience Program for Eastern and Southern Africa 2 Project To improve resilience to water-related climate shocks in Malawi and in the Eastern and Southern Africa region, and in case of an Eligible Crisis or Emergency, to respond promptly and effectively to it. The objective of the Second Regional Climate Resilience Program for Eastern and Southern Africa Project is to improve resilience to water-related climate shocks in Malawi and in the Eastern and Southern Africa region, and in case of an eligible crisis or emergency, to respond promptly and effectively to it. There are five components to the project, the first component being risk management and climate financing. The objective of this component is to build regional and national institutional capacity in watershed and catchment management; and to strengthen cooperation on climate and related disasters risk management and climate financing. This component includes four subcomponents: consolidating and Implementing basin plans, emergency preparedness and response and early warning systems, strengthening Monitoring, Reporting, and Verification (MRV) capacity to facilitate access to climate finance, and capacity building to enhance hydromet systems and climate finance. The second component is the infrastructure investments and sustainable asset management for climate resilience. This component includes three subcomponents: basin-level infrastructure development, district-led resilience building, and capacity building to strengthen flood and drought risk vulnerability analysis and O&M of flood protective infrastructure. The third component is the adaptive climate services for resilient. This component includes three subcomponents: expanding social registry in urban areas, design and pilot urban climate smart public works program, and mainstreaming climate resilience in social protection and empowering communities. The fourth component is the project management. This component will finance project management activities, equipment and materials, and TA in Malawi (US15 million dollars) and AU (US1.5 million dollars) to ensure that the project is compliant with World Bank fiduciary and environment and social (E&S) risk management procedures and standards. Finally, the fifth component is the contingent emergency response component.",0.63540274,0.64078605,0.010255381
P101289,2013,0.0,0.0,0.0,"GZ-Gaza Water Supply & Sewage System Improvement To improve the quality and efficiency of water supply and wastewater service provision in Gaza and assist in restoration of basic water supply and wastewater services through: (i) rehabilitation and reconstruction of existing and damaged water and wastewater systems, and (ii) enhancing the capacity of the Coastal Municipalities Water Utility (CMWU) to sustain water and wastewater services. The objective of the Water Supply and Sewage Systems Improvement Project is to improve the quality and efficiency of water supply and wastewater service provision in Gaza. There are three components to the project, the first component being improving water supply and wastewater facilities. This component includes four subcomponents: water supply network rehabilitation and reconfiguration, rehabilitation of water wells, service water meter replacement and installation of district meters, and upgrading and maintenance of wastewater pumping stations. The second component is the Coastal Municipality Water Utility (CMWU) capacity building and operational support. This component includes three subcomponents: construction of utility central facilities, technical Assistance for CMWU, and operational assistance for the CMWU; and finally, the third component is the project management, monitoring, and evaluation. This component will support the Project Management Unit (PMU's) project management by financing: (i) an external monitoring and evaluation expert, (ii) an external audit, and (iii) the PMU's incremental operating costs.",0.0013393546,8.645901e-05,-0.0067738714
P160488,2017,0.1,0.1,0.0,"Lake Victoria Transport Program - SOP1, Rwanda The program development objective is to facilitate the sustainable movement of goods and people in the Lake Victoria region, whilst strengthening the institutional framework for transport safety.

The project development objective for SOP1 Rwanda is to improve the efficient and safe movement of goods and people along the regional corridor from the border crossing at Rusumo to the border crossng at Nemba and Rusizi together with upgrades to road asset management and road safety in Rwanda. The development objective of Lake Victoria Transport Program Project is to improve the efficient and safe movement of goods and people along the regional corridor from the border crossing at Rusumo to the border crossing at Nemba and Rusizi together with upgrades to road asset management and road safety in Rwanda. This project has two components. 1) The first component, Improving the physical infrastructure, aims for the improvement of the primary infrastructure through design, build and multi-year maintenance has the following two subcomponents: (i) Road Infrastructure - Upgrading Ngoma-Nyanza road Lot 2: Kibugabuga-Shinga - Gasoro (66.55 kilometers); and (ii) Implementation of the Resettlement Action Plans (RAPs). 2) The second component, Improving the institutional infrastructure and implementation assistance, aims to provide support to strengthen and harmonize the institutional framework to ensure safe and efficient operation of private and public transport including cargo and transit traffic, and capacity building and assistance to support implementation of the project. It has the following two subcomponents: (i) Monitoring/supervision of Upgrading Ngoma-Nyanza road Lot 2: Kibugabuga- Shinga - Gasoro (66.55 kilometers); and (ii) Technical Assistance (TA) to Rwanda Transport Development Agency (RTDA) and Ministry.",0.09441139,0.10137947,-0.0031394903
P122065,2011,0.2,0.15,0.05,"West Africa Agricultural Productivity Program APL (WAAPP-1C) To generate and accelerate the adoption of improved technologies in the participating countries' top agricultural commoditypriorityareas that are aligned with the sub-region's top agricultural commodity priorities, as outlined in the ECOWAP. The development objective of the Adaptable Program Lending for West Africa Agricultural Productivity Program Project (WAAPP-1C) is to generate and accelerate the adoption of improved technologies in the participating countries' top agricultural commodity priority areas that are aligned with the sub-region's top agricultural commodity priorities. There are four components to the project, the first component being enabling conditions for sub-regional cooperation in the generation, dissemination, and adoption of agricultural technologies. This component aims at strengthening the institutional mechanisms and procedures for generating, disseminating, and adopting improved agricultural technologies and tools at the national level to allow Economic Community of West African States (ECOWAS) member countries to benefit from those technologies within a regional framework for technical and scientific cooperation. The second component is the strengthening national centers of specialization and strengthening of the research system. The third component is the support to demand-driven technology generation, dissemination and adoption. This component aims at financing priority-focused agricultural research and advisory services within participating countries and complement core program activities financed under second component. Finally, the fourth component is the project coordination, management, and monitoring and evaluation.",0.18340532,0.14364345,0.037318256
P180319,2024,0.77,0.14,0.62,"Ecuador Third Green and Resilient Recovery DPF (EGARR-DPF3) The Program’s Development Objective (PDO) is to assist the government of Ecuador in its agenda to tackle selected structural challenges to foster inclusive, resilient, and low-carbon development. The development objective of the Third Green and Resilient Recovery Development Policy Financing for Ecuador is to assist the government of Ecuador in its agenda to tackle selected structural challenges to foster inclusive, resilient, and low-carbon development. It is organized around two pillars: (i) tackle selected structural challenges to foster green growth, inclusion, and climate resilience; and (ii) strengthen low-carbon development.",0.7706793,0.14531592,0.61749697
P173789,2020,0.0,0.0,0.0,"COVID-19 Strategic Preparedness and Response Program (SPRP) The Program Development Objective is to prevent, detect and respond to the threat posed by COVID-19 and strengthen national systems for public health preparedness The development objective of the COVID-19 (Coronavirus) Emergency Preparedness and Response Project for Sierra Leone is to prevent, detect, and respond to the threat posed by COVID-19 and strengthen national systems for public health preparedness in Sierra Leone. The project comprises of four components. The first component, supporting national and subnational public health institutions for prevention and preparedness objective is to enable Sierra Leone to adequately prepare and prevent COVID-19 or limiting local transmission through containment strategies. The second component is strengthening multi-sector national institutions and platforms for policy development and coordination of prevention and preparedness using one health approach. The third component is emergency COVID-19 response. The fourth component is implementation management and monitoring and evaluation.",0.0019697556,-0.0067595113,0.001785645
P127741,2014,0.0,0.0,0.0,"Philippines National Community Driven Development Program To empower communities in targeted municipalities to achieve improved access to services and to participate in more inclusive localplanning, budgeting and implementation. The objective of the National Community Driven Development Project for Philippines is to empower communities in targeted municipalities to achieve improved access to services and to participate in more inclusive local planning, budgeting and implementation.  The project has 3 components. (1) Barangay (Community) sub-grants for planning and Investment component will support two types of assistance to participating barangays. First, planning grants will be made available to communities to support the Community Empowerment Activity Cycle (CEAC). Second, investment grants will support community sub-project investments and activities (community based public infrastructure and services such as roads, bridges, schools, day care centers, etc.) that respond to community-identified priorities. (2) Local capacity building and implementation support component supports the strengthening of municipal local government units and staff to facilitate and oversee the planning and implementation of community infrastructure sub-projects. The component will also help to ensure quality of infrastructure investments and the integrity of resource management, and to monitor and report on sub-project progress and results. (3) Project administration, monitoring and evaluation component will finance the overall management of the project including goods, consultant services, training, workshops, and operating costs.",0.0051136147,0.015016451,-0.0015434525
P157585,2018,0.94,0.05,0.89,"Strategic Irrigation Modernization and Urgent Rehabilitation Project The Project Development Objective is to improve irrigation services and strengthen accountability of irrigation schemes management in selected areas. The objective of the Strategic Irrigation Modernization and Urgent Rehabilitation Project for Indonesia is to improve irrigation services and strengthen accountability of irrigation schemes management in selected areas. There are three components to the project, the first component being urgent rehabilitation of irrigation and drainage system. Urgent Rehabilitation of Irrigation and Drainage System. this component will support the Institutional strengthening and rehabilitation and revitalization of about 100,000 hectares of irrigated command area aligned with the Government’s five pillars of modernization. This includes about 84,000 hectares of gravity upland irrigation systems and 16,000 hectares of tidal gravity lowland systems. The component will include activities as: (i) assessments of water resources and schemes performance, including potential changes due to climate change; (ii) engineering surveys, investigations and designs; and (iii) rehabilitation and upgrading of the irrigation and drainage infrastructure, incorporating climate resilient designs such as incorporating rainfall variability into hydraulic drainage systems.  This component includes four subcomponents: improvement and revitalization of irrigation and drainage infrastructure; irrigation management modernization; irrigation management institutions; and human resources development. The second component is the strategic modernization of irrigation and drainage system. This component will support the increase of serviceability and management of 176,000 hectares of main, secondary and tertiary networks in the East (ETC ‐ 90,230 ha) and North (NTC ‐ 85,945 ha) Tarum Canals along with two pilot projects in the ETC command area to pioneer irrigation management modernization principles. The component will also support agricultural services under JIS. This component includes three subcomponents: improvement and modernization of irrigation and drainage infrastructure; modernization of irrigation management in Jatiluhur irrigation system; irrigation management institutions; and human resources development. Finally, the fourth component is the project management. This component will provide support to overall project management and implementation through: (i) the Central Project Management Unit (CPMU) within the Ministry and Project Implementation Units (PIU) at the RBOs to provide the necessary support services for timely and effective project implementation, including monitoring and evaluation, procurement, financial management, safeguard compliance and monitoring; (ii) technical Assistance for the RBOs and other implementing entities to ensure timely and effective implementation; (iii) support to the National Steering Committee for Water Resources; and (iv) the incremental operating costs of the CPMU and the PIUs for activities related to project implementation.",0.9350709,0.010125892,0.911975
P179159,2024,0.06,0.02,0.04,"Skills for Better Jobs Project To enhance quality and relevance of skills among Cambodia's upcoming and existing workforce, and in case of an Eligible Crisis or Emergency, respond promptly and effectively to it. The development objective of Skills for Better Jobs Project is to enhance quality and relevance of skills among Cambodia's upcoming and existing workforce, and in case of an eligible crisis or emergency, respond promptly and effectively to it. This project has five components. 1) The first component, Strengthening Technical and Vocational Education and Training (TVET) to Upskill and Respond to Industry Needs, has the following sub-components: (i) Sector-wide improvements in industry engagement and quality in selected sectors; and (ii) Improvements in industry engagement and quality in selected training institutions. 2) The second component, Information and Orientation for Better Jobs, has the following sub-components: (i) Strengthening the Labor Market Information System; and (ii) Enhancing job search support and career guidance. The third component, Strengthening Sector Associations for Employer Engagement in Skills Development (EESD) and Expanding Skills Development, has the following sub-component: (i) Strengthening sector associations for EESD in selected sectors; and (ii) Enhancing and expanding skills development in selected sectors. 4) The fourth component, Project Management and Monitoring, aims to support project implementation and management, capacity building, Monitoring and Evaluation (M&E), and citizen engagement. 5) The fifth component, Contingent Emergency Response, will support the provision of immediate response to an eligible crisis or emergency, as needed.",0.05808101,0.027409878,0.037338354
P168951,2020,0.67,0.42,0.25,"Cap Haitien Urban Development Project The Project Development Objective is to improve selected urban infrastructure and public spaces to support a more livable and resilient Cap-Haitien city-region. The development objective of  Cap-Haitien Urban Development Project for Haiti is to improve selected urban infrastructure and public spaces to support a more livable and resilient Cap-Haitien city-region. This project has four components. 1) The first component,  Urban Infrastructure Investment, aims to support the government of Haiti (GoH) to carry out large urban infrastructure investments; and neighborhood upgrading investments, including the preparation of required feasibility studies, environmental and social studies, detailed designs, construction works and construction supervision. 2) The second component, Capacity Building,aims to support the GoH to carry out infrastructure planning, technical studies and activities under Component 1 by strengthening its capacity and the capacity of the Municipality to maintain urban infrastructure investments. 3)  The third component, Contingent Emergency Response, aims to finance provision of support upon occurrence of an eligible emergency. 4) The fourth component,  Project Management and Implementation Support, aims to finance costs related to Project management and implementation as needed by the project implementation unit.",0.6686758,0.42025292,0.24781677
P152527,2015,0.0,0.0,0.0,"GZ Emergency Budget Support Supplemental The operation will provide budget support to the Palestinian Authority in support of its emergency expenditure program the objective of which is to alleviate the economic, humantiarian, and poverty impact of the summer 2014 war in Gaza. The supplemental grant for the Palestinian National Development Plan and Sixth Development Policy Grant Project for West Bank and Gaza will have significant impact and benefits. The quick disbursement of the supplemental grant will assist the Palestinian Authority (PA) in meeting the immediate, urgent and enormous needs for relief and reconstruction of the conflict-stricken Gaza. While the financing need is substantially larger than the proposed grant amount, the Bank's decision to provide urgent assistance is also likely to encourage other donors who contribute to the Palestinian Reconstruction and Development Plan to provide additional budget support through this mechanism. The proposed grant along with other extraordinary financing will help the PA prevent a humanitarian disaster in Gaza without reducing its ability to maintain basic functions, to pay salaries, social benefits, and suppliers at the time of economic recession. As various studies of conflict and fragility have shown, if governments are not able to fulfill the core functions expected of them in terms of basic public services, social unrest may ensue: the Bank and other donors are providing grants to reduce that risk.",0.0022532232,-0.0020567272,0.0023921789
P146994,2015,0.0,0.0,0.0,"Trade Promotion and Quality Infrastructure The Project Development Objective (PDO) is to strengthen the government's capacity to provide export promotion, investment attraction and quality management services to firms. The Trade Promotion and Quality Infrastructure Project  for Armenia is designed to provide adequate incentives to ensure improved effectiveness of the government in delivering trade promotion and quality infrastructure services to firms. The Project is comprised of four components: (i) Component 1: Improving the effectiveness of the trade promotion and quality system of the country (results-based financing - RBF), (ii) Component 2: Promoting investment and exports, (iii) Component 3: Modernizing the national quality infrastructure, and (iv) Component 4: Project management and monitoring and evaluation. The project is designed with a results-focused component (Component 1) to be complemented by the investments financed through Components 2 and 3 of the project and other sources including the government and donor funds outside the project. By combining the RBF component with the traditional investment components, the project is designed to ensure the critical institutional strengthening needed to maximize the effectiveness of the investments takes place.",0.01307349,0.014645403,0.0049848557
P111479,2011,0.0,0.0,0.0,"CO Rio Bogota Environmental Recuperation and Flood Control Project The objective of the Project is to assist the Borrower to transform the Rio Bogotá river into an environmental asset for the BogotáDistrito Capital metropolitan region by improving water quality, reducing flood risks, and creating multi-functional areas along the river. The objective of the Rio Bogota Environmental Recuperation and Flood Control Project for Colombia is to assist the Borrower to transform the Rio Bogota River into an environmental asset for the Bogota Distrito Capital metropolitan region by improving water quality, reducing flood risks and creating multi-functional areas along the river. There are four components to the project, the first component being upgrading and expansion of the Salitre Wastewater Treatment Plant (WWTP). The second component is the flood control and Rio Bogota environmental restoration works. This component will reduce flood risk and establishment of multifunctional zones along the Río Bogota river through the carrying out of flood control and environmental improvement works, including river dredging, embankment construction, restoration of riparian habitats, meanders and wetlands, land acquisition, involuntary displacement of people, landscape design, and establishment of parks, and the provision of consultants' services for the design, construction and supervision therefor. The third component is the environmental and water studies. Finally, the fourth component is the project management and administration. This component will strengthening the capacity of the Borrower for the day-to-day implementation of the project, including: (a) compliance with financial, environmental and procurement management, reporting requirements and monitoring and supervision activities, implementation of the Resettlement Action Plan (RAP) and Environmental Management Plan (EMP), (b) the carrying out of a public outreach campaign, (c) training, and (d) the provision of consultants' services therefor.",0.0019759457,-0.0080185095,0.016987583
